#Positive parity populations listed in first column
NEnergy= 9.55005   Entries 13
9    0.0005796   0.0003335   
10   0.0000000   0.0001784   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.7500515   Entries 13
0    0.0602704   0.0095754   
1    0.2118244   0.0528938   
2    0.1401963   0.0610545   
3    0.1309550   0.0574385   
4    0.0191617   0.0486268   
5    0.0142913   0.0303582   
6    0.0044104   0.0455035   
7    0.0028957   0.0674614   
8    0.0010076   0.0410248   
9    0.0005520   0.0003245   
10   0.0000000   0.0001736   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.6500515   Entries 13
0    0.0603192   0.0084885   
1    0.2112753   0.0466472   
2    0.1369762   0.0537123   
3    0.1275534   0.0507806   
4    0.0178054   0.0429655   
5    0.0132880   0.0269247   
6    0.0040520   0.0519952   
7    0.0026653   0.0887293   
8    0.0009387   0.0538953   
9    0.0005140   0.0003086   
10   0.0000000   0.0001651   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.5500515   Entries 13
0    0.0586334   0.0072651   
1    0.2046110   0.0397247   
2    0.1296153   0.0456332   
3    0.1203136   0.0433510   
4    0.0159845   0.0366619   
5    0.0119353   0.0230653   
6    0.0035925   0.0623666   
7    0.0023675   0.1202065   
8    0.0008440   0.0729321   
9    0.0004619   0.0002832   
10   0.0000000   0.0001515   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.4500515   Entries 13
0    0.0539888   0.0058503   
1    0.1876412   0.0318335   
2    0.1157934   0.0364852   
3    0.1071285   0.0348247   
4    0.0135111   0.0294403   
5    0.0100929   0.0185987   
6    0.0029953   0.0788955   
7    0.0019778   0.1677790   
8    0.0007136   0.1016846   
9    0.0003904   0.0002444   
10   0.0000000   0.0001308   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.3500515   Entries 13
0    0.0447883   0.0042117   
1    0.1549739   0.0228095   
2    0.0928320   0.0260854   
3    0.0855917   0.0250143   
4    0.0102186   0.0211411   
5    0.0076359   0.0134135   
6    0.0022317   0.1042162   
7    0.0014766   0.2380885   
8    0.0005392   0.1441478   
9    0.0002948   0.0001884   
10   0.0000000   0.0001008   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.2500515   Entries 13
0    0.0312204   0.0025252   
1    0.1074993   0.0136133   
2    0.0622412   0.0155360   
3    0.0571843   0.0149664   
4    0.0064425   0.0126469   
5    0.0048152   0.0080603   
6    0.0013843   0.1367003   
7    0.0009178   0.3262199   
8    0.0003392   0.1973165   
9    0.0001854   0.0001209   
10   0.0000000   0.0000647   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.1500515   Entries 13
0    0.0220622   0.0015192   
1    0.0755549   0.0081535   
2    0.0420662   0.0092866   
3    0.0385078   0.0089867   
4    0.0040798   0.0075934   
5    0.0030497   0.0048622   
6    0.0008613   0.1578824   
