#Positive parity populations listed in first column
NEnergy= 8.45005   Entries 13
10   0.0000000   0.0002110   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.6500515   Entries 13
0    0.0801792   0.0064370   
1    0.2797953   0.0375372   
2    0.1735336   0.0443641   
3    0.1594587   0.0389948   
4    0.0227560   0.0338382   
5    0.0168194   0.0220869   
6    0.0040290   0.0257269   
7    0.0027345   0.0307492   
8    0.0010693   0.0187397   
9    0.0005868   0.0003678   
10   0.0000000   0.0001964   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.5500515   Entries 13
0    0.0854855   0.0055031   
1    0.2959652   0.0319095   
2    0.1743779   0.0376038   
3    0.1593637   0.0331856   
4    0.0208941   0.0287459   
5    0.0154357   0.0187772   
6    0.0035809   0.0260344   
7    0.0024327   0.0365021   
8    0.0009555   0.0222094   
9    0.0005240   0.0003350   
10   0.0000000   0.0001789   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.4500515   Entries 13
0    0.0911305   0.0045887   
1    0.3126589   0.0264664   
2    0.1729597   0.0311065   
3    0.1571629   0.0275577   
4    0.0187726   0.0238316   
5    0.0138577   0.0155816   
6    0.0031023   0.0270292   
7    0.0021094   0.0437584   
8    0.0008317   0.0265826   
9    0.0004558   0.0002971   
10   0.0000000   0.0001586   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.3500515   Entries 13
0    0.0971694   0.0037194   
1    0.3299205   0.0213464   
2    0.1687669   0.0250280   
3    0.1524411   0.0222550   
4    0.0164404   0.0192173   
5    0.0121236   0.0125793   
6    0.0026107   0.0287581   
7    0.0017766   0.0525132   
8    0.0007030   0.0318540   
9    0.0003849   0.0002557   
10   0.0000000   0.0001365   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.2500515   Entries 13
0    0.1040174   0.0029162   
1    0.3489188   0.0166543   
2    0.1615090   0.0194810   
3    0.1449947   0.0173903   
4    0.0139612   0.0149967   
5    0.0102829   0.0098328   
6    0.0021241   0.0308998   
7    0.0014466   0.0618760   
8    0.0005744   0.0374832   
9    0.0003143   0.0002127   
10   0.0000000   0.0001136   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.1500515   Entries 13
0    0.1131653   0.0022082   
1    0.3743205   0.0125566   
2    0.1520419   0.0146583   
3    0.1356258   0.0131292   
4    0.0114976   0.0113087   
5    0.0084554   0.0074264   
6    0.0016677   0.0316972   
7    0.0011367   0.0673760   
8    0.0004527   0.0407667   
9    0.0002476   0.0001706   
10   0.0000000   0.0000911   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.0500515   Entries 13
0    0.1277688   0.0016193   
1    0.4158544   0.0091716   
2    0.1415589   0.0106874   
3    0.1254478   0.0096028   
4    0.0092038   0.0082626   
5    0.0067566   0.0054357   
6    0.0012674   0.0279341   
7    0.0008645   0.0609721   
8    0.0003453   0.0368550   
9    0.0001887   0.0001323   
10   0.0000000   0.0000707   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.9500515   Entries 13
0    0.1504095   0.0011172   
1    0.4806525   0.0063045   
2    0.1274339   0.0073346   
3    0.1121718   0.0066096   
4    0.0069624   0.0056819   
5    0.0051008   0.0037451   
6    0.0009057   0.0188122   
7    0.0006183   0.0409041   
8    0.0002476   0.0247049   
9    0.0001352   0.0000965   
10   0.0000000   0.0000515   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.8500515   Entries 13
0    0.1787850   0.0006679   
1    0.5602249   0.0037565   
2    0.1029044   0.0043638   
3    0.0899592   0.0039432   
4    0.0045859   0.0033870   
5    0.0033521   0.0022371   
6    0.0005606   0.0092528   
7    0.0003830   0.0195217   
8    0.0001538   0.0117836   
9    0.0000839   0.0000609   
10   0.0000000   0.0000325   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 2.7500515   Entries 13
0    0.2062789   0.0003214   
1    0.6350942   0.0018018   
2    0.0697455   0.0020905   
3    0.0605528   0.0018937   
4    0.0024413   0.0016256   
5    0.0017801   0.0010762   
6    0.0002791   0.0034740   
7    0.0001909   0.0069777   
8    0.0000768   0.0042103   
